key	en_us	zh_cn	zh_tw	zh_hk	ja_jp
block.minecraft.waxed_weathered_copper_chest	Waxed Weathered Copper Chest	涂蜡的锈蚀铜箱子	上蠟的風化銅儲物箱	打蠟的生鏽銅儲物箱	錆止めされた錆びた銅のチェスト
block.minecraft.waxed_weathered_copper_door	Waxed Weathered Copper Door	涂蜡的锈蚀铜门	上蠟的風化銅門	打蠟的生鏽銅門	錆止めされた錆びた銅のドア
block.minecraft.waxed_weathered_copper_golem_statue	Waxed Weathered Copper Golem Statue	涂蜡的锈蚀铜傀儡像	上蠟的風化銅像	打蠟的生鏽銅人雕像	錆止めされた錆びたカッパーゴーレムの像
block.minecraft.waxed_weathered_copper_grate	Waxed Weathered Copper Grate	涂蜡的锈蚀铜格栅	上蠟的風化銅格柵	打蠟的生鏽銅網格	錆止めされた錆びた銅の金網
block.minecraft.waxed_weathered_copper_lantern	Waxed Weathered Copper Lantern	涂蜡的锈蚀铜灯笼	上蠟的風化銅燈籠	打蠟的生鏽銅燈籠	錆止めされた錆びた銅のランタン
block.minecraft.waxed_weathered_copper_trapdoor	Waxed Weathered Copper Trapdoor	涂蜡的锈蚀铜活板门	上蠟的風化銅地板門	打蠟的生鏽銅地板門	錆止めされた錆びた銅のトラップドア
block.minecraft.waxed_weathered_cut_copper	Waxed Weathered Cut Copper	涂蜡的锈蚀切制铜块	上蠟的風化切製銅方塊	打蠟的生鏽切製銅磚	錆止めされた錆びた切り込み入りの銅
block.minecraft.waxed_weathered_cut_copper_slab	Waxed Weathered Cut Copper Slab	涂蜡的锈蚀切制铜台阶	上蠟的風化切製銅半磚	打蠟的生鏽切製銅半磚	錆止めされた錆びた切り込み入りの銅のハーフブロック
block.minecraft.waxed_weathered_cut_copper_stairs	Waxed Weathered Cut Copper Stairs	涂蜡的锈蚀切制铜楼梯	上蠟的風化切製銅階梯	打蠟的生鏽切製銅樓梯	錆止めされた錆びた切り込み入りの銅の階段
block.minecraft.waxed_weathered_lightning_rod	Waxed Weathered Lightning Rod	涂蜡的锈蚀避雷针	上蠟的風化避雷針	打蠟的生鏽避雷針	錆止めされた錆びた避雷針
block.minecraft.weathered_chiseled_copper	Weathered Chiseled Copper	锈蚀的雕纹铜块	風化的浮雕銅方塊	生鏽的浮雕銅磚	錆びた模様入りの銅
block.minecraft.weathered_copper	Weathered Copper	锈蚀的铜块	風化的銅方塊	生鏽的銅磚	錆びた銅
block.minecraft.weathered_copper_bars	Weathered Copper Bars	锈蚀的铜栏杆	風化的銅柵欄	生鏽的銅欄杆	錆びた銅格子
block.minecraft.weathered_copper_bulb	Weathered Copper Bulb	锈蚀的铜灯	風化的銅燈	生鏽的銅燈	錆びた銅の電球
block.minecraft.weathered_copper_chain	Weathered Copper Chain	锈蚀的铜链	風化的銅鏈	生鏽的銅鏈	錆びた銅の鎖
block.minecraft.weathered_copper_chest	Weathered Copper Chest	锈蚀的铜箱子	風化的銅儲物箱	生鏽的銅儲物箱	錆びた銅のチェスト
block.minecraft.weathered_copper_door	Weathered Copper Door	锈蚀的铜门	風化的銅門	生鏽的銅門	錆びた銅のドア
block.minecraft.weathered_copper_golem_statue	Weathered Copper Golem Statue	锈蚀的铜傀儡像	風化的銅像	生鏽的銅人雕像	錆びたカッパーゴーレムの像
block.minecraft.weathered_copper_grate	Weathered Copper Grate	锈蚀的铜格栅	風化的銅格柵	生鏽的銅網格	錆びた銅の金網
block.minecraft.weathered_copper_lantern	Weathered Copper Lantern	锈蚀的铜灯笼	風化的銅燈籠	生鏽的銅燈籠	錆びた銅のランタン
block.minecraft.weathered_copper_trapdoor	Weathered Copper Trapdoor	锈蚀的铜活板门	風化的銅地板門	生鏽的銅地板門	錆びた銅のトラップドア
block.minecraft.weathered_cut_copper	Weathered Cut Copper	锈蚀的切制铜块	風化的切製銅方塊	生鏽的切製銅磚	錆びた切り込み入りの銅
block.minecraft.weathered_cut_copper_slab	Weathered Cut Copper Slab	锈蚀的切制铜台阶	風化的切製銅半磚	生鏽的切製銅半磚	錆びた切り込み入りの銅のハーフブロック
block.minecraft.weathered_cut_copper_stairs	Weathered Cut Copper Stairs	锈蚀的切制铜楼梯	風化的切製銅階梯	生鏽的切製銅樓梯	錆びた切り込み入りの銅の階段
block.minecraft.weathered_lightning_rod	Weathered Lightning Rod	锈蚀的避雷针	風化的避雷針	生鏽的避雷針	錆びた避雷針
block.minecraft.weeping_vines	Weeping Vines	垂泪藤	垂泣藤	哭泣藤	しだれツタ
block.minecraft.weeping_vines_plant	Weeping Vines Plant	垂泪藤植株	垂泣藤植株	哭泣藤植株	しだれツタのつる
block.minecraft.wet_sponge	Wet Sponge	湿海绵	濕海綿	濕海綿	濡れたスポンジ
block.minecraft.wheat	Wheat Crops	小麦植株	小麥植株	小麥植株	小麦
block.minecraft.white_banner	White Banner	白色旗帜	白色旗幟	白色橫額	白色の旗
block.minecraft.white_bed	White Bed	白色床	白色床	白色牀	白色のベッド
block.minecraft.white_candle	White Candle	白色蜡烛	白色蠟燭	白色蠟燭	白色のろうそく
block.minecraft.white_candle_cake	Cake with White Candle	插上白色蜡烛的蛋糕	插上白色蠟燭的蛋糕	插上白色蠟燭的蛋糕	白色のろうそくが立てられたケーキ
block.minecraft.white_carpet	White Carpet	白色地毯	白色地毯	白色地氈	白色のカーペット
block.minecraft.white_concrete	White Concrete	白色混凝土	白色混凝土	白色混凝土	白色のコンクリート
block.minecraft.white_concrete_powder	White Concrete Powder	白色混凝土粉末	白色混凝土粉末	白色混凝土粉末	白色のコンクリートパウダー
block.minecraft.white_glazed_terracotta	White Glazed Terracotta	白色带釉陶瓦	白色釉陶	白色釉陶	白色の彩釉テラコッタ
block.minecraft.white_shulker_box	White Shulker Box	白色潜影盒	白色界伏盒	白色界伏盒	白色のシュルカーボックス
block.minecraft.white_stained_glass	White Stained Glass	白色染色玻璃	白色玻璃	白色染色玻璃	白色の色付きガラス
block.minecraft.white_stained_glass_pane	White Stained Glass Pane	白色染色玻璃板	白色玻璃片	白色染色玻璃片	白色の色付きガラス板
block.minecraft.white_terracotta	White Terracotta	白色陶瓦	白色陶土	白色陶瓦	白色のテラコッタ
block.minecraft.white_tulip	White Tulip	白色郁金香	白色鬱金香	白色鬱金香	白色のチューリップ
block.minecraft.white_wool	White Wool	白色羊毛	白色羊毛	白色羊毛	白色の羊毛
block.minecraft.wildflowers	Wildflowers	野花簇	野花簇	野花簇	野花
block.minecraft.wither_rose	Wither Rose	凋灵玫瑰	凋零玫瑰	凋零玫瑰	ウィザーローズ
block.minecraft.wither_skeleton_skull	Wither Skeleton Skull	凋灵骷髅头颅	凋零骷髏頭顱	凋零骷髏骨頭顱	ウィザースケルトンの頭蓋骨
block.minecraft.wither_skeleton_wall_skull	Wither Skeleton Wall Skull	墙上的凋灵骷髅头颅	牆上的凋零骷髏頭顱	牆上的凋零骷髏骨頭顱	壁に付けられたウィザースケルトンの頭蓋骨
block.minecraft.yellow_banner	Yellow Banner	黄色旗帜	黃色旗幟	黃色橫額	黄色の旗
block.minecraft.yellow_bed	Yellow Bed	黄色床	黃色床	黃色牀	黄色のベッド
block.minecraft.yellow_candle	Yellow Candle	黄色蜡烛	黃色蠟燭	黃色蠟燭	黄色のろうそく
block.minecraft.yellow_candle_cake	Cake with Yellow Candle	插上黄色蜡烛的蛋糕	插上黃色蠟燭的蛋糕	插上黃色蠟燭的蛋糕	黄色のろうそくが立てられたケーキ
block.minecraft.yellow_carpet	Yellow Carpet	黄色地毯	黃色地毯	黃色地氈	黄色のカーペット
block.minecraft.yellow_concrete	Yellow Concrete	黄色混凝土	黃色混凝土	黃色混凝土	黄色のコンクリート
block.minecraft.yellow_concrete_powder	Yellow Concrete Powder	黄色混凝土粉末	黃色混凝土粉末	黃色混凝土粉末	黄色のコンクリートパウダー
block.minecraft.yellow_glazed_terracotta	Yellow Glazed Terracotta	黄色带釉陶瓦	黃色釉陶	黃色釉陶	黄色の彩釉テラコッタ
block.minecraft.yellow_shulker_box	Yellow Shulker Box	黄色潜影盒	黃色界伏盒	黃色界伏盒	黄色のシュルカーボックス
block.minecraft.yellow_stained_glass	Yellow Stained Glass	黄色染色玻璃	黃色玻璃	黃色染色玻璃	黄色の色付きガラス
block.minecraft.yellow_stained_glass_pane	Yellow Stained Glass Pane	黄色染色玻璃板	黃色玻璃片	黃色染色玻璃片	黄色の色付きガラス板
block.minecraft.yellow_terracotta	Yellow Terracotta	黄色陶瓦	黃色陶土	黃色陶瓦	黄色のテラコッタ
block.minecraft.yellow_wool	Yellow Wool	黄色羊毛	黃色羊毛	黃色羊毛	黄色の羊毛
block.minecraft.zombie_head	Zombie Head	僵尸的头	殭屍頭顱	喪屍頭顱	ゾンビの頭
block.minecraft.zombie_wall_head	Zombie Wall Head	墙上的僵尸的头	牆上的殭屍頭顱	牆上的喪屍頭顱	壁に付けられたゾンビの頭
book.byAuthor	by %1$s	%1$s 著	作者 %1$s	作者 %1$s	著者：%1$s
book.edit.title	Book Edit Screen	书本编辑屏幕	書本編輯畫面	書本編輯畫面	本の編集画面
book.editTitle	Enter Book Title:	输入书名：	輸入書名：	輸入書名：	本のタイトルを入力してください：
book.finalizeButton	Sign and Close	署名并关闭	署名並完成	簽名並關閉	署名して閉じる
book.finalizeWarning	Note! When you sign the book, it will no longer be editable.	注意！在你署名后，它将不能再被修改。	注意！當您在這本書署名後，將無法再修改書中內容。	注意！當你簽名之後，將無法再修改書中內容。	注意！署名をすると、二度と編集ができなくなります。
book.generation.0	Original	原稿	原始版本	原始版本	オリジナル
book.generation.1	Copy of original	原稿的副本	複本	複本	オリジナルのコピー
book.generation.2	Copy of a copy	副本的副本	複本的複本	複本的複本	コピーのコピー
book.generation.3	Tattered	破烂不堪	破舊的	破舊的	ボロボロ
book.invalid.tag	* Invalid book tag *	* 无效的书本标签 *	* 書本標籤無效 *	* 書本標籤無效 *	* 無効な本のタグ *
book.page_button.next	Next Page	下一页	下一頁	下一頁	次のページ
book.page_button.previous	Previous Page	上一页	上一頁	上一頁	前のページ
book.pageIndicator	Page %1$s of %2$s	第%1$s页/共%2$s页	第 %1$s 頁/共 %2$s 頁	第 %1$s 頁/共 %2$s 頁	%1$s／%2$sページ
book.sign.title	Book Sign Screen	书本署名屏幕	書本署名畫面	書本署名畫面	本の署名画面
book.sign.titlebox	Title	标题	標題	標題	タイトル
book.signButton	Sign	署名	署名	簽名	署名
book.view.title	Book View Screen	书本浏览屏幕	書本檢視畫面	書本檢視畫面	本の閲覧画面
build.spawn_protection	%s is under spawn protection	%s处于重生点保护下	%s 處於重生點保護下	%s 處於重生點保護下	%sはリスポーン地点の保護下にあります
build.tooHigh	The height limit for building is %s	建筑高度上限是%s	建築高度上限為 %s	建築高度上限為 %s	建築高度上限は%sです
build.tooLow	The minimum height for building is %s	建筑高度下限是%s	建築高度下限為 %s	建築高度下限為 %s	建築高度下限は%sです
chat_restriction.chat_and_commands_disabled_by_options	Chat is restricted in client settings.	聊天功能受客户端设置限制。	聊天功能受到用戶端設定限制。	聊天功能受客户端設定限制。	クライアント側の設定でチャットが制限されています。
chat_restriction.chat_disabled_by_options	Player chat is restricted in client settings.	玩家聊天功能受客户端设置限制。	玩家聊天功能受到用戶端設定限制。	玩家聊天功能受客户端設定限制。	プレイヤーのチャットがクライアント側の設定によって制限されています。
chat_restriction.chat_disabled_by_options.action	Go to the Chat Settings screen	前往聊天设置屏幕	前往「聊天設定」畫面	前往「聊天設定」畫面	チャット設定へ移動
chat_restriction.disabled_by_launcher	Chat is restricted by the launcher	聊天功能受启动器限制	聊天功能受到啟動器限制	聊天功能受啟動器限制	ランチャー側でチャットが制限されています
chat_restriction.disabled_by_profile	Chat is restricted by profile settings.	聊天功能受玩家档案设置限制。	聊天功能受到個人檔案設定限制。	聊天功能受玩家檔案設定限制。	プロフィール設定でチャットが制限されています。
chat_restriction.disabled_by_profile.action	Go to your profile settings	前往玩家档案设置	前往玩家檔案設定	前往玩家檔案設定	プロフィール設定へ移動
chat_screen.commands_not_allowed	Sending commands is not allowed	不允许发送命令	不允許傳送指令	不允許傳送命令	コマンドの送信は許可されていません
chat_screen.message	Message to send: %s	要发送的消息：%s	傳送訊息：%s	準備傳送的訊息：%s	メッセージ送信内容：%s
chat_screen.messages_not_allowed	Sending chat messages is not allowed	不允许发送聊天消息	不允許傳送聊天訊息	不允許傳送聊天訊息	チャットメッセージの送信は許可されていません
chat_screen.restricted	Chat is restricted. Click this message for details.	聊天功能受限。点击此消息查看详情。	聊天功能受限。點擊這個訊息以查看詳細資訊。	聊天功能已被限制。按此訊息參閲詳情。	チャットが制限されています。詳細を確認するには、このメッセージをクリックしてください。
chat_screen.restricted.narration	Chat is restricted. Go to the Restrictions screen in World Options.	聊天功能受限。请前往世界选项中的行为限制屏幕。	聊天功能受限。請前往「世界選項」中的「限制」畫面。	聊天功能已被限制。請前往「世界選項」中的「限制」畫面。	チャットが制限されています。ここからワールド設定の「制限」画面に移動できます。
chat_screen.title	Chat screen	聊天屏幕	聊天欄	聊天畫面	チャット画面
chat_screen.usage	Input message and press Enter to send	输入消息并按Enter键发送	輸入訊息後按下 Enter 鍵傳送	輸入訊息並按 Enter 鍵傳送	メッセージを入力し、Enterキーを押して送信
chat.cannotSend	Cannot send chat message	无法发送聊天消息	無法傳送聊天訊息	無法傳送聊天訊息	チャットメッセージを送信できません
chat.coordinates	%s, %s, %s	%s, %s, %s	%s, %s, %s	%s, %s, %s	%s, %s, %s
chat.coordinates.tooltip	Click to teleport	点此传送	按此傳送	按此處傳送	クリックしてテレポート
chat.copy	Copy to Clipboard	复制到剪贴板	複製到剪貼簿	複製至剪貼簿	コピー
chat.copy.click	Click to Copy to Clipboard	单击复制到剪贴板	按此複製到剪貼簿	按此處複製至剪貼簿	クリックしてクリップボードにコピー
chat.deleted_marker	This chat message has been deleted by the server.	此聊天消息已被服务器删除。	這則訊息已被伺服器刪除。	此聊天訊息已被伺服器刪除。	このチャットはサーバーによって削除されました。
chat.disabled.chain_broken	Chat disabled due to broken chain. Please try reconnecting.	由于消息链损坏，聊天已被禁用。请尝试重新连接。	由於訊息鏈中斷，聊天已被停用。請嘗試重新連線。	由於訊息鏈損壞，聊天已停用。請嘗試重新連線。	壊れたチェーンによりチャットが無効化されました。再接続してみてください。
chat.disabled.expiredProfileKey	Chat disabled due to expired profile public key. Please try reconnecting.	由于玩家档案公钥过期，聊天已被禁用。请尝试重新连接。	由於個人資訊公鑰過期，已停用聊天功能。請嘗試重新連線。	由於個人資訊公匙逾期，已停用聊天功能。請嘗試重新連線。	プロフィール公開鍵が期限切れのため、チャットが無効になっています。再接続を試みてください。
chat.disabled.invalid_command_signature	The command had unexpected or missing command argument signatures.	此命令包含意外或缺失的命令参数签名。	指令包含非預期的或是遺漏的指令引數簽章。	命令包含意外或缺少命令引數簽署。	コマンドに予期しない引数のシグネチャーあるいは欠落した引数のシグネチャーがあります。
chat.disabled.invalid_signature	Chat had an invalid signature. Please try reconnecting.	聊天签名无效。请尝试重新连接。	聊天簽章無效。請嘗試重新連線。	聊天簽署無效。請嘗試重新連線。	チャットに無効な署名が含まれています。再接続してください。
chat.disabled.launcher	Chat disabled by launcher option. Cannot send message.	聊天在启动器选项中被禁用。无法发送消息。	啟動器選項已停用聊天功能。無法傳送訊息。	啟動器選項已停用聊天功能。無法傳送訊息。	ランチャーの設定によりチャットが無効になっているため、メッセージを送信できません。
chat.disabled.missingProfileKey	Chat disabled due to missing profile public key. Please try reconnecting.	由于玩家档案公钥丢失，聊天已被禁用。请尝试重新连接。	由於個人資訊公鑰遺失，已停用聊天功能。請嘗試重新連線。	由於個人資訊公匙遺失，已停用聊天功能。請嘗試重新連線。	プロフィール公開鍵が見つからないため、チャットが無効になっています。再接続を試みてください。
chat.disabled.options	Chat disabled in client options.	聊天在客户端选项中被禁用。	用戶端選項已停用聊天功能。	客户端設定已停用聊天功能。	クライアントの設定でチャットが無効になっています。
chat.disabled.out_of_order_chat	Chat received out-of-order. Did your system time change?	接收到了乱序的聊天消息。你的系统时间是否被更改过？	收到的聊天訊息順序不正確。您的系統時間是否已變更？	收到亂序的聊天訊息。你的系統時間是否變更過？	受け取ったチャットの順序が乱れています。システムの時間が変更されていませんか？
chat.disabled.profile	Chat is not allowed by account settings. Press '%s' again for more information.	聊天在账户设置中被禁用。再按一次“%s”以获取更多信息。	聊天功能受到帳號設定限制。請重新按下「%s」以取得更多資訊。	聊天功能受帳户設定限制。再次按「%s」獲取更多資訊。	チャットはアカウントの設定により無効になっています。もう一度「%s」を押すと詳細な情報を表示します。
chat.disabled.profile.moreInfo	Chat is not allowed by account settings. Cannot send or view messages.	聊天在账户设置中被禁用。无法发送或查看消息。	聊天功能受到帳號設定限制。無法傳送或查看訊息。	聊天功能受帳户設定限制。無法發送或查看訊息。	チャットはアカウントの設定によって無効になっており、メッセージの送信・閲覧はできません。
chat.editBox	chat	聊天	聊天欄	聊天欄	チャット
chat.filtered	Filtered by the server.	已被服务器过滤。	被伺服器過濾。	被伺服器過濾。	サーバーによってフィルタリングされました。
chat.filtered_full	The server has hidden your message for some players.	服务器已向部分玩家隐藏了你的消息。	伺服器已為部分玩家隱藏您的訊息。	伺服器已對部分玩家隱藏你的訊息。	サーバーはあなたのメッセージを一部のプレイヤーに対して非表示にしています。
chat.link.confirm	Are you sure you want to open the following website?	你确定要打开以下网页？	你確定要開啟以下網頁嗎？	你確定要瀏覽這個網頁？	このウェブサイトを開きますか？
chat.link.confirmTrusted	Do you want to open this link or copy it to your clipboard?	你想要打开这个链接或将其复制到你的剪贴板吗？	確定要開啟此連結或將它複製到剪貼簿嗎？	你確定要打開此連結或將其複製至剪貼簿？	このリンクをブラウザで開きますか？それともクリップボードにコピーしますか？
chat.link.open	Open in Browser	在浏览器中打开	在瀏覽器中開啟	用瀏覽器打開	ブラウザで開く
chat.link.warning	Never open links from people that you don't trust!	永远不要打开你不信任的人提供的链接！	千萬不要開啟任何你不信任的人所提供的連結！	永遠不要打開任何你不信任的人提供的連結！	信頼できないリンクは絶対に開かないでください
chat.queue	[+%s pending line(s)]	[+%s行待发送]	[+%s 則待傳送訊息]	[+%s 行待傳送]	［%s行のチャットを保留中］
chat.queue.tooltip	Click to display next message	单击显示下一条消息	按此顯示下一則訊息	按此處顯示下一則訊息	クリックして次のメッセージを表示します
chat.square_brackets	[%s]	[%s]	[%s]	[%s]	[%s]
chat.tag.error	Server sent invalid message.	服务器发送了无效消息。	伺服器傳送了無效訊息。	伺服器傳送了無效訊息。	サーバーが無効なメッセージを送信しました。
chat.tag.modified	Message modified by the server. Original:	消息被服务器修改。原文：	訊息被伺服器修改過。原文：	訊息被伺服器變更。原文：	このメッセージはサーバーによって変更されています。原文：
chat.tag.not_secure	Unverified message. Cannot be reported.	未经验证的消息。无法举报。	無法檢舉未認證的訊息。	未驗證訊息。無法舉報。	安全性が確認されていないメッセージです。このメッセージを報告することはできません。
chat.tag.system	Server message. Cannot be reported.	服务器消息。无法举报。	無法檢舉伺服器訊息。	伺服器訊息。無法舉報。	これはサーバーからのメッセージです。このメッセージを通報することはできません。
chat.tag.system_single_player	Server message.	服务器消息。	伺服器訊息。	伺服器訊息。	これはサーバーからのメッセージです。
chat.type.admin	[%s: %s]	[%s: %s]	[%s: %s]	[%s: %s]	［%s：%s］
chat.type.advancement.challenge	%s has completed the challenge %s	%s完成了挑战%s	%s 已完成挑戰 %s	%s 已完成挑戰 %s	%sが挑戦%sを完了しました
chat.type.advancement.goal	%s has reached the goal %s	%s达成了目标%s	%s 已達成目標 %s	%s 已達成目標 %s	%sが目標%sを達成しました
chat.type.advancement.task	%s has made the advancement %s	%s取得了进度%s	%s 已完成進度 %s	%s 已達成進度 %s	%sが進捗%sを達成しました
chat.type.announcement	[%s] %s	[%s] %s	[%s] %s	[%s] %s	[%s] %s
chat.type.emote	* %s %s	* %s %s	* %s %s	* %s %s	* %s %s
chat.type.team.hover	Message Team	发送队伍消息	傳送隊伍訊息	傳送隊伍訊息	チームにメッセージを送る
chat.type.team.sent	-> %s <%s> %s	-> %s <%s> %s	-> %s <%s> %s	-> %s <%s> %s	-> %s <%s> %s
chat.type.team.text	%s <%s> %s	%s <%s> %s	%s <%s> %s	%s <%s> %s	%s <%s> %s
chat.type.text	<%s> %s	<%s> %s	<%s> %s	<%s> %s	<%s> %s
chat.type.text.narrate	%s says %s	%s说%s	%s 說︰%s	%s 説︰%s	%sが%sと言いました
chat.validation_error	Chat validation error	聊天验证错误	聊天驗證錯誤	聊天驗證錯誤	チャットの検証エラー
chunk.toast.checkLog	See log for more details	查看日志获取详情	查看記錄檔以取得詳細資訊	查看紀錄以獲取詳情	詳細はログをご確認ください
chunk.toast.loadFailure	Failed to load chunk at %s	无法加载%s处的区块	無法載入 %s 處的區塊	無法載入區塊 %s	%sにあるチャンクの読み込みに失敗しました
chunk.toast.lowDiskSpace	Low disk space!	磁盘空间不足！	磁碟空間不足！	磁碟空間不足！	ディスクの空き容量が不足しています！
chunk.toast.lowDiskSpace.description	Might not be able to save the world.	可能无法保存世界。	可能無法儲存世界。	可能無法儲存世界。	ワールドを保存できない可能性があります。
chunk.toast.saveFailure	Failed to save chunk at %s	无法保存%s处的区块	無法儲存 %s 處的區塊	無法儲存區塊 %s	%sにあるチャンクの保存に失敗しました
clear.failed.multiple	No items were found on %s players	未能从%s名玩家找到任何物品	在 %s 個玩家身上找不到任何物品	%s 個玩家身上並無任何物品	%s人のプレイヤーはアイテムを持っていませんでした
clear.failed.single	No items were found on player %s	未能从玩家%s找到任何物品	在玩家 %s 身上找不到任何物品	玩家 %s 身上並無任何物品	プレイヤー%sはアイテムを持っていませんでした
color.minecraft.black	Black	黑色	黑色	黑色	黒色
color.minecraft.blue	Blue	蓝色	藍色	藍色	青色
color.minecraft.brown	Brown	棕色	棕色	啡色	茶色
color.minecraft.cyan	Cyan	青色	青色	青藍色	青緑色
color.minecraft.gray	Gray	灰色	灰色	灰色	灰色
color.minecraft.green	Green	绿色	綠色	綠色	緑色
color.minecraft.light_blue	Light Blue	淡蓝色	淺藍色	淺藍色	空色
color.minecraft.light_gray	Light Gray	淡灰色	淺灰色	淺灰色	薄灰色
color.minecraft.lime	Lime	黄绿色	淺綠色	淺綠色	黄緑色
color.minecraft.magenta	Magenta	品红色	洋紅色	紫紅色	赤紫色
color.minecraft.orange	Orange	橙色	橙色	橙色	橙色
color.minecraft.pink	Pink	粉红色	粉紅色	粉紅色	桃色
color.minecraft.purple	Purple	紫色	紫色	紫色	紫色
color.minecraft.red	Red	红色	紅色	紅色	赤色
color.minecraft.white	White	白色	白色	白色	白色
color.minecraft.yellow	Yellow	黄色	黃色	黃色	黄色
command.context.here	<--[HERE]	<--[此处]	<--［這裡］	<--[此處]	←［問題箇所］
command.context.parse_error	%s at position %s: %s	%s，位于第%s个字符：%s	第 %2$s 個字元 %1$s：%3$s	於第 %2$s 個字元處，%1$s：%3$s	%2$s文字目の%1$s：%3$s
command.exception	Could not parse command: %s	无法解析命令：%s	無法解析指令：%s	無法解析命令：%s	コマンドを解釈できませんでした：%s
command.expected.separator	Expected whitespace to end one argument, but found trailing data	参数后应有空格分隔，但发现了紧邻的数据	引數結尾應為空白字元，但發現有尾隨資料	引數結尾應為空白字符，惟發現有尾隨數據	引数の区切りに空白が必要ですが、つながっています
command.failed	An unexpected error occurred while trying to execute that command	试图执行该命令时出现意外错误	試圖執行該指令時發生了非預期的錯誤	試圖執行命令時發生意外錯誤	コマンドの実行中に予期せぬエラーが発生しました
command.forkLimit	Maximum number of contexts (%s) reached	上下文数量已达上限值（%s）	已達上下文數量上限 (%s)	已達上下文數量最大值 (%s)	実行文脈数の上限（%s）に達しました
command.trailing_data	Trailing data found: %s	发现尾随数据：%s	發現尾隨資料：%s	發現尾隨數據：%s	末尾の余分なデータが検出されました：%s
command.unknown.argument	Incorrect argument for command	错误的命令参数	指令的引數不正確	命令引數不正確	コマンドの引数が正しくありません
command.unknown.command	Unknown or incomplete command. See below for error	未知或不完整的命令。错误见下	未知或不完整的指令，錯誤如下	命令未知或不完整，錯誤如下：	不明または不完全なコマンドです。以下のエラーをご覧ください。
commands.advancement.criterionNotFound	The advancement %1$s does not contain the criterion '%2$s'	进度%1$s并不包含条件“%2$s”	進度 %1$s 不包含 '%2$s' 標準條件	進度 %1$s 不包含 '%2$s' 標準條件	進捗%1$sは条件「%2$s」を含んでいません
commands.advancement.grant.criterion.to.many.failure	Couldn't grant criterion '%s' of advancement %s to %s players as they already have it	无法将进度%2$s的达成条件“%1$s”赋予%3$s名玩家，因为他们已达成此条件	無法將進度 %2$s 的條件 '%1$s' 給予 %3$s 個玩家，因為他們已經擁有該條件	無法將進度 %2$s 的條件「%1$s」賦予 %3$s 個玩家，因為所有人原本已擁有該條件	%3$s人のプレイヤーは既に進捗%2$sの条件「%1$s」を持っているため与えることができませんでした
commands.advancement.grant.criterion.to.many.success	Granted criterion '%s' of advancement %s to %s players	已将进度%2$s的达成条件“%1$s”赋予%3$s名玩家	已將進度 %2$s 的條件 '%1$s' 給予 %3$s 個玩家	已將進度 %2$s 的條件「%1$s」賦予 %3$s 個玩家	%3$s人のプレイヤーに進捗%2$sの条件「%1$s」を与えました
commands.advancement.grant.criterion.to.one.failure	Couldn't grant criterion '%s' of advancement %s to %s as they already have it	无法将进度%2$s的达成条件“%1$s”赋予%3$s，因为该玩家已达成此条件	無法將進度 %2$s 的條件 '%1$s' 給予 %3$s，因為他已經擁有該條件	無法將進度 %2$s 的條件「%1$s」賦予 %3$s，因為其原本已擁有該條件	%3$sは既に進捗%2$sの条件「%1$s」を持っているため与えることができませんでした
commands.advancement.grant.criterion.to.one.success	Granted criterion '%s' of advancement %s to %s	已将进度%2$s的达成条件“%1$s”赋予%3$s	已將進度 %2$s 的條件 '%1$s' 給予 %3$s	已將進度 %2$s 的條件「%1$s」賦予 %3$s	%3$sに進捗%2$sの条件「%1$s」を与えました
commands.advancement.grant.many.to.many.failure	Couldn't grant %s advancements to %s players as they already have them	无法将%s项进度赋予%s名玩家，因为他们已达成这些进度	無法將 %s 個進度給予 %s 個玩家，因為他們已達成那些進度	無法將 %s 個進度賦予 %s 個玩家，因為所有人原本已達成所有指定進度	%2$s人のプレイヤーは既に%1$s個の進捗を持っているため与えることができませんでした
commands.advancement.grant.many.to.many.success	Granted %s advancements to %s players	已将%s项进度赋予%s名玩家	已將 %s 個進度給予 %s 個玩家	已將 %s 個進度賦予 %s 個玩家	%2$s人のプレイヤーに%1$s個の進捗を与えました
commands.advancement.grant.many.to.one.failure	Couldn't grant %s advancements to %s as they already have them	无法将%s项进度赋予%s，因为该玩家已达成这些进度	無法將 %s 個進度給予 %s，因為他已達成此進度	無法將 %s 個進度賦予 %s，因為進度原本已全部達成	%2$sは既に%1$s個の進捗を持っているため与えることができませんでした
commands.advancement.grant.many.to.one.success	Granted %s advancements to %s	已将%s项进度赋予%s	已將 %s 個進度給予 %s	已將 %s 個進度賦予 %s	%2$sに%1$s個の進捗を与えました
commands.advancement.grant.one.to.many.failure	Couldn't grant advancement %s to %s players as they already have it	无法将进度%s赋予%s名玩家，因为他们已达成此进度	無法將進度 %s 給予 %s 個玩家，因為他們已達成此進度	無法將進度 %s 賦予 %s 個玩家，因為所有人原本已達成進度	%2$s人のプレイヤーは既に進捗%1$sを持っているため与えることができませんでした
commands.advancement.grant.one.to.many.success	Granted the advancement %s to %s players	已将进度%s赋予%s名玩家	已將進度 %s 給予 %s 個玩家	已將進度 %s 賦予 %s 個玩家	%2$s人のプレイヤーに進捗%1$sを与えました
